Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit
08/22/2019 13:58,08/22/2019 23:54,EURUSD,Buy,6,0,0,1.10689,1.10807,-12,0,11.8,626.95
08/22/2019 14:00,08/22/2019 23:47,EURUSD,Buy,6,0,0,1.10664,1.10814,-12,0,15,800.17
08/20/2019 11:00,08/20/2019 16:11,EURUSD,Buy,6,0,0,1.10717,1.10739,-12,0,2.2,107.2
08/16/2019 13:30,08/19/2019 22:21,EURUSD,Buy,6,0,0,1.10795,1.10823,-12,-58.51,2.8,81.08
08/16/2019 14:05,08/19/2019 22:21,EURUSD,Buy,6,0,0,1.10765,1.10825,-12,-58.51,6,254.33
08/14/2019 17:11,08/15/2019 13:53,EURUSD,Buy,6,0,0,1.11488,1.11573,-12,-174.77,8.5,270.33
08/14/2019 17:12,08/15/2019 13:53,EURUSD,Buy,6,0,0,1.11462,1.11573,-12,-174.77,11.1,410.15
08/14/2019 17:40,08/15/2019 13:53,EURUSD,Buy,6,0,0,1.1138,1.11572,-12,-174.77,19.2,845.75
08/14/2019 22:08,08/15/2019 13:53,EURUSD,Buy,6,0,0,1.11338,1.11572,-12,-174.77,23.4,1071.61
08/14/2019 14:45,08/14/2019 15:48,EURUSD,Sell,6,0,0,1.11832,1.11751,-12,0,8.1,422.9
08/14/2019 14:49,08/14/2019 15:48,EURUSD,Sell,6,0,0,1.11852,1.1175,-12,0,10.2,535.65
08/14/2019 15:13,08/14/2019 15:48,EURUSD,Sell,6,0,0,1.11896,1.11754,-12,0,14.2,750.39
08/14/2019 13:19,08/14/2019 14:17,EURUSD,Sell,6,0,0,1.1188,1.11718,-12,0,16.2,858.05
08/13/2019 21:16,08/13/2019 21:41,EURUSD,Buy,6,0,0,1.11752,1.1177,-12,0,1.8,84.63
08/13/2019 19:40,08/13/2019 19:59,EURUSD,Buy,6,0,0,1.11745,1.11809,-12,0,6.4,331.44
08/13/2019 16:58,08/13/2019 17:00,EURUSD,Buy,6,0,0,1.11809,1.11848,-12,0,3.9,197.21
08/13/2019 12:32,08/13/2019 16:57,EURUSD,Sell,6,0,0,1.12008,1.11794,-12,0,21.4,1136.54
08/13/2019 12:51,08/13/2019 16:57,EURUSD,Sell,6,0,0,1.12083,1.11778,-12,0,30.5,1625.17
08/13/2019 13:29,08/13/2019 16:57,EURUSD,Sell,6,0,0,1.12197,1.11777,-12,0,42,2242.49
08/13/2019 15:17,08/13/2019 16:57,EURUSD,Sell,6,0,0,1.12232,1.11803,-12,0,42.9,2290.26
08/13/2019 15:24,08/13/2019 16:57,EURUSD,Sell,6,0,0,1.12284,1.1176,-12,0,52.4,2801.17
08/12/2019 13:26,08/13/2019 10:09,EURUSD,Sell,6,0,0,1.11902,1.11874,-12,30.62,2.8,168.79
08/12/2019 13:28,08/13/2019 10:09,EURUSD,Sell,6,0,0,1.11939,1.11872,-12,30.62,6.7,377.96
08/12/2019 13:43,08/13/2019 10:08,EURUSD,Sell,6,0,0,1.11976,1.1187,-12,30.62,10.6,587.14
08/12/2019 13:51,08/13/2019 10:08,EURUSD,Sell,6,0,0,1.11996,1.11874,-12,30.62,12.2,672.93
08/12/2019 15:35,08/13/2019 10:08,EURUSD,Sell,6,0,0,1.12037,1.11873,-12,30.62,16.4,898.19
08/12/2019 16:05,08/13/2019 10:08,EURUSD,Sell,6,0,0,1.12097,1.11873,-12,30.62,22.4,1219.98
08/12/2019 16:11,08/13/2019 10:08,EURUSD,Sell,6,0,0,1.12182,1.11874,-12,30.62,30.8,1670.48
08/12/2019 16:16,08/13/2019 10:08,EURUSD,Sell,6,0,0,1.12196,1.11875,-12,30.62,32.1,1740.18
08/12/2019 18:23,08/13/2019 10:08,EURUSD,Sell,6,0,0,1.12259,1.11874,-12,30.62,38.5,2083.44
08/05/2019 13:41,08/12/2019 10:59,EURUSD,Sell,6,0,0,1.11635,1.1168,-12,219.85,-4.5,-33.91
08/05/2019 14:06,08/12/2019 10:59,EURUSD,Sell,6,0,0,1.1171,1.11691,-12,219.85,1.9,309.92
08/05/2019 14:07,08/12/2019 10:58,EURUSD,Sell,6,0,0,1.11721,1.117,-12,219.85,2.1,320.65
08/05/2019 14:10,08/12/2019 10:58,EURUSD,Sell,6,0,0,1.11732,1.11695,-12,219.85,3.7,406.61
08/05/2019 14:42,08/12/2019 10:58,EURUSD,Sell,6,0,0,1.11772,1.11694,-12,219.85,7.8,626.85
08/05/2019 15:00,08/12/2019 10:50,EURUSD,Sell,6,0,0,1.11785,1.11698,-12,219.85,8.7,675.18
08/09/2019 11:50,08/12/2019 10:47,EURUSD,Sell,6,0,0,1.11949,1.11701,-12,30.66,24.8,1350.79
08/09/2019 12:08,08/12/2019 10:47,EURUSD,Sell,6,0,0,1.11981,1.11696,-12,30.66,28.5,1549.6
08/09/2019 12:54,08/12/2019 10:46,EURUSD,Sell,6,0,0,1.12064,1.11687,-12,30.66,37.7,2043.96
08/09/2019 13:14,08/12/2019 10:32,EURUSD,Sell,6,0,0,1.12009,1.11705,-12,30.66,30.4,1651.53
