Open Date,Close Date,Symbol,Action,Lots,Open Price,Close Price,Commission,Swap,Pips
12/19/2019 00:31,12/19/2019 05:12,AUDUSD,Buy,0.5,0.68536,0.68739,-3.5,0,20.3
12/19/2019 01:01,12/19/2019 02:31,AUDUSD,Buy,0.5,0.68498,0.68753,-3.5,0,25.5
12/19/2019 01:01,12/19/2019 02:30,AUDUSD,Buy,0.5,0.68504,0.68755,-3.5,0,25.1
12/19/2019 00:31,12/19/2019 02:30,AUDUSD,Buy,0.5,0.68536,0.68776,-3.5,0,24
12/18/2019 19:35,12/18/2019 23:25,XAUUSD,Sell,0.3,1475.12,1474.88,-2.1,0,24
12/18/2019 19:36,12/18/2019 23:24,XAUUSD,Sell,0.3,1475.2,1474.9,-2.1,0,30
12/18/2019 17:09,12/18/2019 17:30,XAUUSD,Sell,0.3,1474.52,1477.01,-2.1,0,-249
12/18/2019 17:11,12/18/2019 17:30,XAUUSD,Sell,0.3,1475.29,1476.68,-2.1,0,-139
12/18/2019 16:37,12/18/2019 17:04,XAUUSD,Sell,0.5,1475.44,1474.32,-3.5,0,112
12/18/2019 16:50,12/18/2019 17:03,XAUUSD,Sell,0.5,1475.33,1474.14,-3.5,0,119
12/18/2019 15:53,12/18/2019 16:36,XAUUSD,Sell,0.3,1472.4,1476.15,-2.1,0,-375
12/18/2019 16:18,12/18/2019 16:36,XAUUSD,Sell,0.3,1473.71,1475.96,-2.1,0,-225
12/18/2019 16:01,12/18/2019 16:33,XAUUSD,Sell,0.3,1473.08,1475.28,-2.1,0,-220
12/18/2019 12:31,12/18/2019 15:11,EURUSD,Sell,0.5,1.1136,1.11156,-3.5,0,20.4
12/18/2019 09:53,12/18/2019 15:06,XAUUSD,Sell,0.3,1477.58,1473.94,-2.1,0,364
12/18/2019 13:54,12/18/2019 15:03,XAUUSD,Sell,0.3,1477.18,1475.55,-2.1,0,163
12/18/2019 09:53,12/18/2019 15:03,XAUUSD,Sell,0.3,1477.64,1475.52,-2.1,0,212
12/18/2019 13:09,12/18/2019 14:47,EURUSD,Sell,0.5,1.11354,1.11238,-3.5,0,11.6
12/18/2019 12:32,12/18/2019 14:09,EURUSD,Sell,0.5,1.11358,1.11219,-3.5,0,13.9
12/18/2019 11:52,12/18/2019 13:37,XAUUSD,Sell,0.3,1478.63,1475.19,-2.1,0,344
12/18/2019 09:58,12/18/2019 13:37,XAUUSD,Sell,0.3,1477.84,1475.67,-2.1,0,217
12/16/2019 12:10,12/18/2019 09:31,USDJPY,Sell,0.5,109.426,109.443,-3.5,-7.28,-1.7
12/18/2019 09:07,12/18/2019 09:31,GBPUSD,Buy,0.3,1.31137,1.31194,-2.1,0,5.7
12/18/2019 09:07,12/18/2019 09:24,EURUSD,Buy,0.5,1.11372,1.11371,-3.5,0,-0.1
12/18/2019 09:07,12/18/2019 09:22,EURUSD,Buy,0.5,1.1137,1.11368,-3.5,0,-0.2
12/18/2019 07:38,12/18/2019 09:00,EURUSD,Buy,0.5,1.11328,1.11374,-3.5,0,4.6
12/17/2019 15:00,12/18/2019 09:00,GBPUSD,Buy,0.3,1.31673,1.31216,-2.1,-2.12,-45.7
12/18/2019 07:38,12/18/2019 09:00,EURUSD,Buy,0.5,1.11328,1.11378,-3.5,0,5
12/17/2019 15:46,12/18/2019 08:00,GBPUSD,Buy,0.2,1.31529,1.31071,-1.4,-1.41,-45.8
12/16/2019 12:10,12/18/2019 07:00,USDJPY,Sell,0.5,109.427,109.434,-3.5,-7.28,-0.7
12/18/2019 04:29,12/18/2019 06:00,GBPUSD,Buy,0.3,1.30814,1.31011,-2.1,0,19.7
12/17/2019 20:39,12/18/2019 05:10,USDJPY,Sell,0.5,109.477,109.451,-3.5,-3.64,2.6
12/17/2019 20:39,12/18/2019 05:10,USDJPY,Sell,0.5,109.48,109.452,-3.5,-3.64,2.8
12/17/2019 19:32,12/18/2019 04:21,GBPUSD,Buy,0.3,1.31144,1.30799,-2.1,-2.12,-34.5
12/18/2019 03:51,12/18/2019 04:18,GBPUSD,Buy,0.3,1.3096,1.30856,-2.1,0,-10.4
12/17/2019 20:26,12/18/2019 04:18,GBPUSD,Buy,0.3,1.31226,1.3089,-2.1,-2.12,-33.6
12/17/2019 21:42,12/18/2019 04:00,USDJPY,Sell,0.5,109.5,109.466,-3.5,-3.64,3.4
12/17/2019 21:46,12/18/2019 04:00,USDJPY,Sell,0.5,109.52,109.466,-3.5,-3.64,5.4
12/17/2019 20:28,12/18/2019 03:43,GBPUSD,Buy,0.3,1.31176,1.30944,-2.1,-2.12,-23.2
12/17/2019 19:24,12/18/2019 03:43,GBPUSD,Buy,0.3,1.31147,1.30977,-2.1,-2.12,-17
12/17/2019 16:29,12/18/2019 03:43,AUDUSD,Buy,0.3,0.68431,0.68495,-2.1,-1.14,6.4
12/17/2019 16:36,12/18/2019 03:43,AUDUSD,Buy,0.5,0.68443,0.68498,-3.5,-1.9,5.5
12/17/2019 14:09,12/17/2019 20:19,USDJPY,Sell,0.5,109.584,109.464,-3.5,0,12
12/17/2019 10:31,12/17/2019 20:18,USDJPY,Sell,0.5,109.576,109.459,-3.5,0,11.7
12/17/2019 14:40,12/17/2019 20:18,USDJPY,Sell,0.5,109.617,109.461,-3.5,0,15.6
12/17/2019 19:37,12/17/2019 20:02,GBPUSD,Buy,0.3,1.31141,1.31286,-2.1,0,14.5
12/17/2019 18:17,12/17/2019 19:14,GBPUSD,Buy,0.5,1.31416,1.31289,-3.5,0,-12.7
12/17/2019 18:43,12/17/2019 19:10,GBPUSD,Buy,0.3,1.31096,1.31236,-2.1,0,14
12/17/2019 18:56,12/17/2019 19:05,GBPUSD,Buy,0.3,1.31097,1.31229,-2.1,0,13.2
12/17/2019 18:48,12/17/2019 18:48,GBPUSD,Buy,0.5,1.31081,1.31,-3.5,0,-8.1
12/17/2019 14:19,12/17/2019 18:45,USDCAD,Sell,0.5,1.31719,1.31516,-3.5,0,20.3
12/17/2019 15:49,12/17/2019 18:00,GBPUSD,Buy,0.1,1.31427,1.31264,-0.7,0,-16.3
12/17/2019 15:49,12/17/2019 18:00,GBPUSD,Buy,0.1,1.31427,1.31296,-0.7,0,-13.1
12/17/2019 10:50,12/17/2019 15:11,XTIUSD,Sell,1,60.22,60.54,0,0,-32
12/17/2019 13:59,12/17/2019 15:11,XTIUSD,Sell,1,60.37,60.49,0,0,-12
12/16/2019 17:47,12/17/2019 15:11,XTIUSD,Sell,1,60.29,60.5,0,-0.27,-21
12/17/2019 14:18,12/17/2019 15:02,GBPUSD,Buy,0.2,1.31896,1.31494,-1.4,0,-40.2
12/17/2019 14:34,12/17/2019 15:02,GBPUSD,Buy,0.3,1.31901,1.315,-2.1,0,-40.1
12/17/2019 15:00,12/17/2019 15:02,GBPUSD,Buy,0.2,1.31682,1.31523,-1.4,0,-15.9
12/17/2019 13:31,12/17/2019 13:56,USDCAD,Sell,0.5,1.31722,1.31709,-3.5,0,1.3
12/17/2019 11:33,12/17/2019 13:56,USDCAD,Sell,0.5,1.31781,1.31709,-3.5,0,7.2
12/17/2019 11:27,12/17/2019 13:55,GBPUSD,Buy,0.1,1.31704,1.3203,-0.7,0,32.6
12/17/2019 13:22,12/17/2019 13:55,GBPUSD,Buy,0.2,1.32041,1.32031,-1.4,0,-1
12/17/2019 09:56,12/17/2019 13:00,USDJPY,Sell,0.5,109.606,109.552,-3.5,0,5.4
12/17/2019 11:28,12/17/2019 13:00,GBPUSD,Buy,0.2,1.31722,1.32009,-1.4,0,28.7
12/17/2019 11:32,12/17/2019 12:59,USDCAD,Sell,0.5,1.31796,1.31703,-3.5,0,9.3
12/17/2019 11:22,12/17/2019 12:59,GBPUSD,Buy,0.2,1.31872,1.32056,-1.4,0,18.4
12/17/2019 09:30,12/17/2019 11:31,XAUUSD,Sell,0.3,1477.13,1477.53,-2.1,0,-40
12/17/2019 08:28,12/17/2019 11:31,XAUUSD,Sell,0.2,1477.5,1477.46,-1.4,0,4
12/17/2019 08:28,12/17/2019 11:30,XAUUSD,Sell,0.1,1477.54,1477.64,-0.7,0,-10
12/17/2019 06:51,12/17/2019 11:25,EURUSD,Sell,0.5,1.11484,1.11378,-3.5,0,10.6
12/17/2019 04:32,12/17/2019 10:29,EURUSD,Sell,0.5,1.11423,1.11314,-3.5,0,10.9
12/17/2019 05:15,12/17/2019 10:25,EURUSD,Sell,0.5,1.11464,1.11344,-3.5,0,12
12/17/2019 04:32,12/17/2019 10:21,EURUSD,Sell,0.5,1.11422,1.11358,-3.5,0,6.4
12/17/2019 05:54,12/17/2019 08:57,GBPUSD,Sell,0.3,1.32936,1.32597,-2.1,0,33.9
12/17/2019 06:11,12/17/2019 08:48,GBPUSD,Sell,0.3,1.32939,1.32639,-2.1,0,30
12/17/2019 06:13,12/17/2019 08:33,GBPUSD,Sell,0.3,1.32938,1.32742,-2.1,0,19.6
12/16/2019 12:14,12/17/2019 04:25,USDJPY,Sell,0.5,109.423,109.52,-3.5,-3.64,-9.7
12/17/2019 03:38,12/17/2019 04:24,USDJPY,Sell,0.5,109.558,109.523,-3.5,0,3.5
12/17/2019 03:40,12/17/2019 04:24,USDJPY,Sell,0.5,109.557,109.524,-3.5,0,3.3
12/17/2019 01:01,12/17/2019 02:56,USDJPY,Sell,0.5,109.594,109.528,-3.5,0,6.6
12/17/2019 01:31,12/17/2019 02:51,GBPUSD,Buy,0.1,1.32587,1.32771,-0.7,0,18.4
