Open Date,Close Date,Symbol,Action,Lots,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Gain
04/23/2021 16:59,04/26/2021 06:20,XAUUSD,Buy,0.16,1781.73,1782.1,37,5.92,02:13:20:52,0.10%
04/26/2021 15:22,04/26/2021 16:09,XAUUSD,Buy,0.17,1770.68,1778.82,814,138.38,00:00:46:53,2.38%
04/26/2021 17:14,04/26/2021 17:17,XAUUSD,Buy,0.04,1776.54,1778.01,147,5.88,00:00:03:09,0.10%
04/26/2021 17:22,04/26/2021 17:59,XAUUSD,Sell,0.32,1779.04,1777.54,150,48.0,00:00:36:33,0.81%
04/26/2021 20:41,04/26/2021 23:39,XAUUSD,Buy,0.17,1778.97,1781.44,247,41.99,00:02:58:07,0.70%
04/27/2021 04:38,04/27/2021 07:46,XAUUSD,Buy,0.16,1776.82,1781.32,450,72.0,00:03:08:24,1.19%
04/27/2021 10:51,04/27/2021 13:12,XAUUSD,Buy,0.01,1778.67,1782.01,334,3.34,00:02:20:49,0.05%
04/27/2021 09:14,04/27/2021 13:12,XAUUSD,Buy,0.32,1780.74,1782.01,127,40.64,00:03:57:42,0.66%
04/27/2021 16:31,04/27/2021 16:50,XAUUSD,Buy,0.32,1780.46,1781.9,144,46.08,00:00:18:50,0.75%
04/28/2021 04:30,04/28/2021 18:38,XAUUSD,Buy,0.01,1767.49,1775.8,831,8.31,00:14:08:39,0.13%
04/28/2021 03:38,04/28/2021 18:38,XAUUSD,Buy,0.04,1771.07,1775.8,473,18.92,00:15:00:03,0.30%
04/28/2021 21:40,04/29/2021 09:11,XAUUSD,Sell,0.17,1780.68,1781.77,-109,-18.53,00:11:31:01,-0.30%
04/29/2021 09:40,04/29/2021 09:53,XAUUSD,Sell,0.04,1779.46,1777.72,174,6.96,00:00:13:05,0.11%
04/29/2021 10:21,04/29/2021 11:21,XAUUSD,Sell,0.17,1779.84,1778.5,134,22.78,00:00:59:52,0.37%
04/29/2021 16:05,04/29/2021 21:46,XAUUSD,Buy,0.21,1777.14,1772.26,-488,-102.48,00:05:40:52,-1.64%
05/03/2021 15:27,05/03/2021 17:00,XAUUSD,Sell,0.04,1785.17,1793.23,-806,-32.24,00:01:32:34,-0.54%
05/03/2021 15:22,05/03/2021 17:00,XAUUSD,Sell,0.16,1783.54,1793.23,-969,-155.04,00:01:37:34,-2.52%
05/03/2021 17:32,05/03/2021 17:44,XAUUSD,Sell,0.04,1797.41,1794.23,318,12.72,00:00:11:53,0.21%
05/03/2021 17:05,05/03/2021 17:44,XAUUSD,Sell,0.01,1795.26,1794.23,103,1.03,00:00:39:16,0.02%
05/03/2021 17:00,05/03/2021 17:44,XAUUSD,Sell,0.32,1793.13,1794.23,-110,-35.2,00:00:44:16,-0.59%
05/03/2021 18:04,05/03/2021 18:13,XAUUSD,Sell,0.16,1795.94,1793.04,290,46.4,00:00:09:34,0.78%
05/03/2021 17:44,05/03/2021 18:13,XAUUSD,Sell,0.01,1794.11,1793.04,107,1.07,00:00:29:06,0.02%
05/03/2021 18:13,05/03/2021 18:17,XAUUSD,Buy,0.16,1793.02,1794.07,105,16.8,00:00:03:37,0.28%
05/03/2021 18:17,05/03/2021 18:27,XAUUSD,Sell,0.21,1794.07,1792.01,206,43.26,00:00:10:02,0.72%
05/03/2021 19:33,05/03/2021 20:20,XAUUSD,Sell,0.16,1794.4,1791.32,308,49.28,00:00:46:38,0.81%
