Open Date,Close Date,Symbol,Action,Lots,Open Price,Close Price
10/21/2019 14:58,10/21/2019 17:10,GBPUSD,Buy,0.05,1.30092,1.30059
10/21/2019 16:09,10/21/2019 17:10,GBPUSD,Buy,0.05,1.29806,1.30058
10/21/2019 15:01,10/21/2019 15:28,GBPUSD,Buy,0.05,1.29984,1.30106
10/21/2019 11:00,10/21/2019 11:16,GBPUSD,Buy,0.05,1.29552,1.29828
10/21/2019 09:08,10/21/2019 10:29,GBPUSD,Buy,0.05,1.29118,1.29245
10/21/2019 09:15,10/21/2019 10:29,GBPUSD,Buy,0.05,1.29059,1.29244
10/20/2019 00:40,,,Withdrawal,0.01,0,0
10/18/2019 17:03,10/18/2019 17:26,GBPUSD,Buy,0.05,1.28882,1.28982
10/18/2019 12:06,10/18/2019 12:40,GBPUSD,Buy,0.05,1.28837,1.28959
10/17/2019 21:27,,,Withdrawal,0.01,0,0
10/17/2019 14:51,10/17/2019 19:40,GBPUSD,Buy,0.05,1.28703,1.28589
10/17/2019 18:40,10/17/2019 19:40,GBPUSD,Buy,0.05,1.28544,1.28589
10/17/2019 19:05,10/17/2019 19:24,GBPUSD,Buy,0.05,1.28467,1.28524
10/17/2019 19:07,10/17/2019 19:18,GBPUSD,Buy,0.05,1.28405,1.28491
10/17/2019 18:46,10/17/2019 18:54,GBPUSD,Buy,0.05,1.28476,1.28545
10/17/2019 17:30,10/17/2019 18:30,GBPUSD,Buy,0.05,1.28574,1.28621
10/17/2019 17:57,10/17/2019 18:22,GBPUSD,Buy,0.05,1.28485,1.28559
10/17/2019 18:00,10/17/2019 18:22,GBPUSD,Buy,0.05,1.28428,1.28571
10/17/2019 18:04,10/17/2019 18:19,GBPUSD,Buy,0.05,1.28349,1.28396
10/17/2019 18:13,10/17/2019 18:19,GBPUSD,Buy,0.05,1.28249,1.28403
10/17/2019 14:55,10/17/2019 17:24,GBPUSD,Buy,0.05,1.2855,1.28684
10/17/2019 17:10,10/17/2019 17:24,GBPUSD,Buy,0.05,1.28337,1.28717
